id,publicCode,collectorNumber,name,set_id,set_label,rarity_id,rarity_label,cardType,superType,domain,energy,might,power,tags,ability_text,accessibilityText,illustrator,orientation,cardImage_url
ven-001-166,VEN-001/166,1,Baccai Sandspinner,VEN,Vendetta,common,Common,Unit,,Fury,6,6,,Shurima,"[Empower] :rb_energy_5:. This ability costs :rb_energy_3: less if you control 4 or fewer runes. (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Deflect] and [Assault 2]. (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability. +2 :rb_might: while I'm an attacker.)","Riftbound Unit: Baccai Sandspinner. [Empower] [5]. This ability costs [3] less if you control 4 or fewer runes. (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Deflect] and [Assault 2]. (Opponents must pay [A] to choose me with a spell or ability. +2 [S] while I'm an attacker.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d8abab7f0df7c8ec9fff8c8dfa71c732e1ce2e6a-744x1039.png?accountingTag=RB
ven-r01,VEN-R01,1,Fury Rune,VEN,Vendetta,common,Common,Rune,Basic,Fury,,,,,[NO TEXT],Riftbound Rune: Fury Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f95ed6ba0c4d4d357c45bf5bdb1a8e540af1f85f-744x1039.png?accountingTag=RB
ven-sp1-006,VEN-SP1/006,1,"Kai'Sa, Survivor",VEN,Vendetta,epic,Epic,Unit,Champion,Fury,4,4,,Kai'Sa,"[Accelerate]
When I conquer, draw 1.","Riftbound Unit: Kai'Sa, Survivor. [Accelerate]
When I conquer, draw 1.",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a14d1be8f014a331f60885013d81a1a8f5c8c076-744x1039.png?accountingTag=RB
ven-002-166,VEN-002/166,2,Blade Twirler,VEN,Vendetta,common,Common,Unit,,Fury,4,4,,"Yordle, Ionia","The first time I move each turn, choose a player. They [Burn 1]. (They put the top card of their Main Deck into their trash.)","Riftbound Unit: Blade Twirler. The first time I move each turn, choose a player. They [Burn 1]. (They put the top card of their Main Deck into their trash.)",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b222082d5d38630c4d2542ed24c0442881e3de18-744x1039.png?accountingTag=RB
ven-r02,VEN-R02,2,Calm Rune,VEN,Vendetta,common,Common,Rune,Basic,Calm,,,,,[NO TEXT],Riftbound Rune: Calm Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9b70aa1b334728a3e8beeea0c9154a2d0f79b1eb-744x1039.png?accountingTag=RB
ven-sp2-006,VEN-SP2/006,2,"Sona, Harmonious",VEN,Vendetta,epic,Epic,Unit,Champion,Calm,4,4,1,Sona,"At the end of your turn, if I'm at a battlefield, ready up to 4 friendly runes.","Riftbound Unit: Sona, Harmonious. At the end of your turn, if I'm at a battlefield, ready up to 4 friendly runes.",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2cc800fbd0011dd084426445ebb1c2831420063d-744x1039.png?accountingTag=RB
ven-sp3-006,VEN-SP3/006,3,"Ahri, Inquisitive",VEN,Vendetta,epic,Epic,Unit,Champion,Mind,3,3,1,"Ahri, Ionia","When I attack or defend, give an enemy unit here -2 :rb_might: this turn, to a minimum of 1 :rb_might:.","Riftbound Unit: Ahri, Inquisitive. When I attack or defend, give an enemy unit here -2 [S] this turn, to a minimum of 1 [S].",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e8d1993018d8317494cbaab4e4dd738c2e80740d-744x1039.png?accountingTag=RB
ven-003-166,VEN-003/166,3,Brittle Steel,VEN,Vendetta,common,Common,Spell,,Fury,2,,1,,"Kill a gear.
[Flow] :rb_energy_4::rb_rune_fury: (You may play this from your trash for its Flow cost. Then banish it.)","Riftbound Spell: Brittle Steel. Kill a gear.
[Flow] [4][C] (You may play this from your trash for its Flow cost. Then banish it.)",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2264ab788558ec69b1b6ed3e03ce69a3f63bdbb7-744x1039.png?accountingTag=RB
ven-r03,VEN-R03,3,Mind Rune,VEN,Vendetta,common,Common,Rune,Basic,Mind,,,,,[NO TEXT],Riftbound Rune: Mind Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/33df1c56c6e76f9cb783c19161f16fcdbdc20f98-744x1039.png?accountingTag=RB
ven-r04,VEN-R04,4,Body Rune,VEN,Vendetta,common,Common,Rune,Basic,Body,,,,,[NO TEXT],Riftbound Rune: Body Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3313c73c5b31daa482073bfefbf4d2255a89d7d0-744x1039.png?accountingTag=RB
ven-004-166,VEN-004/166,4,Dune Surfer,VEN,Vendetta,common,Common,Unit,,Fury,3,3,,Shurima,You ignore [Tank] while assigning combat damage here.,Riftbound Unit: Dune Surfer. You ignore [Tank] while assigning combat damage here.,Dao Trong Le,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/acab9ec71d58f1e109cd8879c0fef0bdeb866432-744x1039.png?accountingTag=RB
ven-t04,VEN-T04,4,Recruit (NX),VEN,Vendetta,common,Common,Unit,Token,Colorless,,1,,Recruit,,Riftbound Unit: Recruit (NX).,Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/08b9ccf225fc2ae9eb9b5668e5361b09789210ee-744x1039.png?accountingTag=RB
ven-sp4-006,VEN-SP4/006,4,"Sett, Brawler",VEN,Vendetta,epic,Epic,Unit,Champion,Body,5,4,1,Sett,"When you play me or when I conquer, buff me.
Spend my buff: Give me +4 :rb_might: this turn.","Riftbound Unit: Sett, Brawler. When you play me or when I conquer, buff me.
Spend my buff: Give me +4 [S] this turn.",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/075f83adf06b41c42c78addd11cfc73fbdb8aabb-744x1039.png?accountingTag=RB
ven-r05,VEN-R05,5,Chaos Rune,VEN,Vendetta,common,Common,Rune,Basic,Chaos,,,,,[NO TEXT],Riftbound Rune: Chaos Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3861fc566891a70c21cf3d3075adec716deb7080-744x1039.png?accountingTag=RB
ven-sp5-006,VEN-SP5/006,5,"Ezreal, Prodigy",VEN,Vendetta,epic,Epic,Unit,Champion,Chaos,3,3,1,"Ezreal, Piltover","When you play me, discard 1, then draw 2.
Optional additional costs you pay cost :rb_energy_1: or :rb_rune_rainbow: less.","Riftbound Unit: Ezreal, Prodigy. When you play me, discard 1, then draw 2.
Optional additional costs you pay cost [1] or [A] less.",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fd4beecca19d4e84ead0852acce83d4c34ac1b4c-744x1039.png?accountingTag=RB
ven-005-166,VEN-005/166,5,Forsaken Baccai,VEN,Vendetta,common,Common,Unit,,Fury,2,2,,Shurima,"If you control fewer runes than an opponent at the start of your Beginning Phase, give me +1 :rb_might: this turn.","Riftbound Unit: Forsaken Baccai. If you control fewer runes than an opponent at the start of your Beginning Phase, give me +1 [S] this turn.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/33d3e7840280e2780687057f08f30312a56d230f-744x1039.png?accountingTag=RB
