id,publicCode,collectorNumber,name,set_id,set_label,rarity_id,rarity_label,cardType,superType,domain,energy,might,power,tags,ability_text,accessibilityText,illustrator,orientation,cardImage_url
sfd-001-221,SFD-001/221,1,Against the Odds,SFD,Spiritforged,common,Common,Spell,,Fury,2,,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit at a battlefield +2 :rb_might: this turn for each enemy unit there.","Riftbound Spell: Against the Odds. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png?accountingTag=RB
sfd-002-221,SFD-002/221,2,Armed Assailant,SFD,Spiritforged,common,Common,Unit,,Fury,6,6,1,Noxus,"[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)
[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)","Riftbound Unit: Armed Assailant. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png?accountingTag=RB
sfd-003-221,SFD-003/221,3,Blood Rush,SFD,Spiritforged,common,Common,Spell,,Fury,1,,,,"[Action] (Play on your turn or in showdowns.)
[Repeat] :rb_energy_1: (You may pay the additional cost to repeat this spell's effect.)
Give a unit [Assault 2]. (+2 :rb_might: while it's an attacker.)","Riftbound Spell: Blood Rush. [Action] (Play on your turn or in showdowns.)
[Repeat] [1] (You may pay the additional cost to repeat this spell's effect.)
Give a unit [Assault 2]. (+2 [M] while it's an attacker.)",Rafael Zanchetin,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png?accountingTag=RB
sfd-t03,SFD-T03,3,Gold,SFD,Spiritforged,common,Common,Gear,Token,Colorless,,,,,"Kill this, :rb_exhaust:: [Reaction] — [Add] :rb_rune_rainbow:. (Abilities that add resources can't be reacted to.)","Riftbound Gear: Gold. Kill this, [T]: [Reaction] — [Add] [A]. (Abilities that add resources can't be reacted to.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e878c39b562a4e870e93b819c6d85cdf3fdc5238-744x1039.png?accountingTag=RB
sfd-004-221,SFD-004/221,4,Bushwhack,SFD,Spiritforged,common,Common,Spell,,Fury,2,,1,,"[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.)
Friendly units enter ready this turn. Play a Gold gear token exhausted.","Riftbound Spell: Bushwhack. [Hidden] (Hide now for [A] to react with later for [0].)
Friendly units enter ready this turn. Play a Gold gear token exhausted.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png?accountingTag=RB
sfd-005-221,SFD-005/221,5,Detonate,SFD,Spiritforged,common,Common,Spell,,Fury,1,,1,,Kill a gear. Its controller draws 2.,Riftbound Spell: Detonate. Kill a gear. Its controller draws 2.,Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png?accountingTag=RB
sfd-006-221,SFD-006/221,6,Eager Drakehound,SFD,Spiritforged,common,Common,Unit,,Fury,3,3,1,"Dog, Dragon, Noxus",I enter ready.,Riftbound Unit: Eager Drakehound. I enter ready.,Michal Ivan,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png?accountingTag=RB
sfd-007-221,SFD-007/221,7,Gem Jammer,SFD,Spiritforged,common,Common,Unit,,Fury,2,2,,"Mech, Bandle City","When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)","Riftbound Unit: Gem Jammer. When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)",Caravan Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9f487e8a76e6e6b9f2e32de0c9c147be42f49e59-744x1039.png?accountingTag=RB
sfd-008-221,SFD-008/221,8,Sentinel Adept,SFD,Spiritforged,common,Common,Unit,,Fury,3,3,,"Shadow Isles, Sentinel","[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)","Riftbound Unit: Sentinel Adept. [Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",Wild Blue Studios,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/94e213b77131d9a67e51743a35fc5dff80fd79ec-744x1039.png?accountingTag=RB
sfd-009-221,SFD-009/221,9,Serrated Dirk,SFD,Spiritforged,common,Common,Gear,,Fury,1,,,Equipment,[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.),Riftbound Gear: Serrated Dirk. [Equip] [C] ([C]: Attach this to a unit you control.),黯荧岛Dark Glow,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9498c8146745124fc45a7b55184854a9c9da21f5-744x1039.png?accountingTag=RB
