id,publicCode,collectorNumber,name,set_id,set_label,rarity_id,rarity_label,cardType,superType,domain,energy,might,power,tags,ability_text,accessibilityText,illustrator,orientation,cardImage_url
ogs-001-024,OGS-001/024,1,"Annie, Fiery",OGS,Proving Grounds,epic,Epic,Unit,Champion,Fury,5,4,1,"Annie, Noxus",Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),"Riftbound Unit: Annie, Fiery. Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.)",Polar Engine Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/532d75dc36a16eb5954253a77366fcceac7aec62-744x1039.png?accountingTag=RB
ogs-002-024,OGS-002/024,2,Firestorm,OGS,Proving Grounds,uncommon,Uncommon,Spell,,Fury,6,,1,,Deal 3 to all enemy units at a battlefield.,Riftbound Spell: Firestorm. Deal 3 to all enemy units at a battlefield.,Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a7a34129e64f0296bf2da166c2b06ed156d568db-744x1039.png?accountingTag=RB
ogs-003-024,OGS-003/024,3,Incinerate,OGS,Proving Grounds,common,Common,Spell,,Fury,2,,,,"[Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.","Riftbound Spell: Incinerate. [Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/46e4eaada1412f9b6c24751bdb3932c6a51e905f-744x1039.png?accountingTag=RB
ogs-004-024,OGS-004/024,4,"Yi, Meditative",OGS,Proving Grounds,rare,Rare,Unit,Champion,Calm,5,4,1,"Master Yi, Ionia","While you have 8+ runes, I have +4 :rb_might:.","Riftbound Unit: Yi, Meditative. While you have 8+ runes, I have +4 [S].",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5508566c8f05f09492148faa803332a731095eb7-744x1039.png?accountingTag=RB
ogs-005-024,OGS-005/024,5,Zephyr Sage,OGS,Proving Grounds,uncommon,Uncommon,Unit,,Calm,6,6,1,"Ionia, Bird",[Shield] (+1 :rb_might: while I'm a defender.),Riftbound Unit: Zephyr Sage. [Shield] (+1 [S] while I'm a defender.),Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7664b03bb107954195153d9f2f86c5d63682fa4b-744x1039.png?accountingTag=RB
ogs-006-024,OGS-006/024,6,"Lux, Illuminated",OGS,Proving Grounds,rare,Rare,Unit,Champion,Mind,6,5,1,"Lux, Demacia","When you play a spell that costs :rb_energy_5: or more, give me +3 :rb_might: this turn.","Riftbound Unit: Lux, Illuminated. When you play a spell that costs [5] or more, give me +3 [S] this turn.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a0d10edf30abb6fde21f5d386e9a7db3c1b0a098-744x1039.png?accountingTag=RB
ogs-007-024,OGS-007/024,7,"Garen, Rugged",OGS,Proving Grounds,rare,Rare,Unit,Champion,Body,6,5,1,"Elite, Garen, Demacia","[Assault 2], [Shield 2] (+2 :rb_might: while I'm an attacker or defender.)","Riftbound Unit: Garen, Rugged. [Assault 2], [Shield 2] (+2 [S] while I'm an attacker or defender.)",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/67c22dc29a7a28dabe0f169a7848c25bef1fbda4-744x1039.png?accountingTag=RB
ogs-008-024,OGS-008/024,8,Gentlemen's Duel,OGS,Proving Grounds,common,Common,Spell,,Body,6,,1,,"[Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 :rb_might: this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.","Riftbound Spell: Gentlemen's Duel. [Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 [S] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4568ab827fdcd42d6bb86b1c2de6182e286c9ee9-744x1039.png?accountingTag=RB
ogs-009-024,OGS-009/024,9,"Yi, Honed",OGS,Proving Grounds,epic,Epic,Unit,Champion,Body,7,6,1,"Master Yi, Ionia","[Ganking] (I can move from battlefield to battlefield.)
I enter ready.","Riftbound Unit: Yi, Honed. [Ganking] (I can move from battlefield to battlefield.)
I enter ready.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0e16976cd6d7ee5a874be9351b428671990fbd25-744x1039.png?accountingTag=RB
ogs-010-024,OGS-010/024,10,"Annie, Stubborn",OGS,Proving Grounds,rare,Rare,Unit,Champion,Chaos,4,3,1,"Annie, Noxus","When you play me, return a spell from your trash to your hand.","Riftbound Unit: Annie, Stubborn. When you play me, return a spell from your trash to your hand.",League Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44eb968cf0c54e75970588b69eef5c5f5ccc9b24-744x1039.png?accountingTag=RB
ogs-011-024,OGS-011/024,11,Flash,OGS,Proving Grounds,common,Common,Spell,,Chaos,2,,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.","Riftbound Spell: Flash. [Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.",Sugar Free,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4d9cc1c13b75933e509e642213f13359350cd3f9-744x1039.png?accountingTag=RB
ogs-012-024,OGS-012/024,12,Blast of Power,OGS,Proving Grounds,common,Common,Spell,,Order,6,,1,,"[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.","Riftbound Spell: Blast of Power. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/026f851a703601fce4142c0791e913377c170b47-744x1039.png?accountingTag=RB
ogs-013-024,OGS-013/024,13,"Garen, Commander",OGS,Proving Grounds,epic,Epic,Unit,Champion,Order,6,5,1,"Elite, Garen, Demacia",Other friendly units have +1 :rb_might: here.,"Riftbound Unit: Garen, Commander. Other friendly units have +1 [S] here.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cbf2c12d69a86566e4cda07050b2d4495e40187e-744x1039.png?accountingTag=RB
ogs-014-024,OGS-014/024,14,"Lux, Crownguard",OGS,Proving Grounds,epic,Epic,Unit,Champion,Order,4,2,,"Lux, Demacia",:rb_exhaust:: [Reaction] — [Add] :rb_energy_2:. Use only to play spells. (Abilities that add resources can't be reacted to.),"Riftbound Unit: Lux, Crownguard. [T]: [Reaction] — [Add] [2]. Use only to play spells. (Abilities that add resources can't be reacted to.)",Envar Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/17d0793ad495727e67bb1c94ae0e11cd4705870f-744x1039.png?accountingTag=RB
ogs-015-024,OGS-015/024,15,Recruit the Vanguard,OGS,Proving Grounds,uncommon,Uncommon,Spell,,Order,6,,,,"[Action] (Play on your turn or in showdowns.)
Play four 1 :rb_might: Recruit unit tokens. (They can be played to your base or to battlefields you control.)","Riftbound Spell: Recruit the Vanguard. [Action] (Play on your turn or in showdowns.)
Play four 1 [S] Recruit unit tokens. (They can be played to your base or to battlefields you control.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/81d1c47459606f7b627778cce9b5f0e44d80f7fa-744x1039.png?accountingTag=RB
ogs-016-024,OGS-016/024,16,Vanguard Attendant,OGS,Proving Grounds,common,Common,Unit,,Order,6,5,1,"Elite, Demacia",I enter ready.,Riftbound Unit: Vanguard Attendant. I enter ready.,Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4ce467c1d51a65ab4fbae918dca38ae90b510844-744x1039.png?accountingTag=RB
ogs-017-024,OGS-017/024,17,Dark Child - Starter,OGS,Proving Grounds,rare,Rare,Legend,Champion,"Fury, Chaos",,,,Annie,"At the end of your turn, ready 2 runes.","Riftbound Legend: Dark Child - Starter. At the end of your turn, ready 2 runes.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/89963e1d1cffd69c620fb5d6b037f50d5c334463-744x1039.png?accountingTag=RB
ogs-018-024,OGS-018/024,18,Tibbers,OGS,Proving Grounds,epic,Epic,Unit,Signature,"Fury, Chaos",8,7,2,Annie,"When you play me, deal 3 to all units at battlefields.","Riftbound Unit: Tibbers. When you play me, deal 3 to all units at battlefields.",Polar Engine Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/74f8bc78573b33d9979b0e9c121b858d770a490c-744x1039.png?accountingTag=RB
ogs-019-024,OGS-019/024,19,Wuju Bladesman - Starter,OGS,Proving Grounds,rare,Rare,Legend,Champion,"Calm, Body",,,,Master Yi,"While a friendly unit defends alone, it gets +2 :rb_might:.","Riftbound Legend: Wuju Bladesman - Starter. While a friendly unit defends alone, it gets +2 [S].",Grafit Studio/Quy Ho,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8231ced23eaf22ca3bf62ec8cb86b83a3e222da6-744x1039.png?accountingTag=RB
ogs-020-024,OGS-020/024,20,Highlander,OGS,Proving Grounds,epic,Epic,Spell,Signature,"Calm, Body",4,,,Master Yi,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)","Riftbound Spell: Highlander. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/18c0818cbbfdf26a1237b4f7703b1f035f47b014-744x1039.png?accountingTag=RB
ogs-021-024,OGS-021/024,21,Lady of Luminosity - Starter,OGS,Proving Grounds,rare,Rare,Legend,Champion,"Mind, Order",,,,Lux,"When you play a spell that costs :rb_energy_5: or more, draw 1.","Riftbound Legend: Lady of Luminosity - Starter. When you play a spell that costs [5] or more, draw 1.",Grafit Studio/Maki Planas Mata,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44885d811b70621b188d9813b2b10b5cff1b81e6-744x1039.png?accountingTag=RB
ogs-022-024,OGS-022/024,22,Final Spark,OGS,Proving Grounds,epic,Epic,Spell,Signature,"Mind, Order",8,,,Lux,"[Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.","Riftbound Spell: Final Spark. [Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4558a2dc1bb1f1b8a73ec0d82244654e84b12687-744x1039.png?accountingTag=RB
ogs-023-024,OGS-023/024,23,Might of Demacia - Starter,OGS,Proving Grounds,rare,Rare,Legend,Champion,"Body, Order",,,,Garen,"When you conquer, if you have 4+ units at that battlefield, draw 2.","Riftbound Legend: Might of Demacia - Starter. When you conquer, if you have 4+ units at that battlefield, draw 2.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e7185deb46f17770802d06aeddfe3b929afff880-744x1039.png?accountingTag=RB
ogs-024-024,OGS-024/024,24,Decisive Strike,OGS,Proving Grounds,epic,Epic,Spell,Signature,"Body, Order",5,,1,Garen,"[Action] (Play on your turn or in showdowns.)
Give friendly units +2 :rb_might: this turn.","Riftbound Spell: Decisive Strike. [Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/986782271be078c184a8d1c196e375106459c6c5-744x1039.png?accountingTag=RB
